entry_id,entry_title,type,hazard,priority,suggested_tier
AS-TRIL-0004,AMBITION-cm (2022) — Cryptococcal meningitis in Africa,trial,critical,P1,1
AS-TRIL-0003,AQUAMAT (2010) — Artesunate vs quinine in African children,trial,critical,P1,1
AS-EMRG-0005,Adrenal Crisis — Give Hydrocortisone Now,emergency,critical,P1,1
AS-CRIT-0002,DKA — Diagnosis (2024 criteria),criteria,critical,P1,1
AS-DRUG-0003,"Digoxin — Use, Cautions and Toxicity",drug,critical,P1,1
AS-TRIL-0002,E-MOTIVE (2023) — Postpartum bleeding bundle,trial,critical,P1,1
AS-TRIL-0001,FEAST (2011) — Fluid bolus in African children,trial,critical,P1,1
AS-CLRK-0001,Gunshot and Stab Wound — How To Clerk,clerking,critical,P1,1
AS-CRIT-0003,HHS — Diagnosis and Management,criteria,critical,P1,1
AS-EMRG-0004,Hypoglycaemia — Recognise and Treat,emergency,critical,P1,1
AS-REGI-0003,"Insulin — Types, Regimens and Doses",regimen,critical,P1,1
AS-GUID-0007,"Malaria — Diagnosis, Severity and Treatment",guideline,critical,P1,1
AS-EMRG-0007,Pre-eclampsia and Eclampsia,emergency,critical,P1,1
AS-SHRT-0001,"Prescription Shorthand — BD, TDS, STAT, PRN and the Rest",shorthand,critical,P1,1
AS-PATH-0002,Status Epilepticus — Timed Pathway,pathway,critical,P1,2
AS-REGI-0001,TB Treatment — Regimens and Drug Resistance,regimen,critical,P1,1
AS-TRIL-0005,TB-PRACTECAL (2022) — 6-month all-oral MDR-TB regimen,trial,critical,P1,1
AS-SCOR-0007,Thyroid Storm — Burch-Wartofsky Score,score,critical,P1,1
AS-EMRG-0001,Transfusion Reaction — What To Do Now,emergency,critical,P1,1
AS-PATH-0005,Trauma Primary Survey (ABCDE),pathway,critical,P1,2
AS-GUID-0003,Typhoid Perforation,guideline,critical,P1,1
AS-SCOR-0009,APGAR Score,score,high,P2,1
AS-DRUG-0001,"Antibiotics — Classes, Cover and Side Effects",drug,high,P2,1
AS-DRUG-0002,Brand Names — What Drug Is This?,drug,high,P2,1
AS-SCOR-0004,CHA₂DS₂-VASc — AF Stroke Risk,score,high,P2,1
AS-CALC-0013,Cerebral Perfusion Pressure (CPP),calculator,high,P2,1
AS-CALC-0011,Child Maintenance Fluid (4-2-1 Rule),calculator,high,P2,1
AS-CALC-0008,Corrected Sodium (in high sugar),calculator,high,P2,1
AS-CALC-0005,Creatinine Clearance (Cockcroft-Gault),calculator,high,P2,1
AS-REGI-0002,Heart Failure — The Four Pillars,regimen,high,P2,1
AS-GRAD-0001,Hepatic Encephalopathy — West Haven Grades,grading,high,P2,1
AS-CALC-0007,Osmolality and Osmolar Gap,calculator,high,P2,1
AS-NAMK-0001,Pregnancy Danger Signs,named_knowledge,high,P2,1
AS-SPEC-0001,"Samples — Container, Transport and Why They Get Rejected",specimen,high,P2,1
AS-MONI-0001,What To Monitor and How Often,monitoring,high,P2,1
AS-TEST-0001,Widal Test — What It Does and Doesn't Tell You,test,high,P2,1
AS-TRIL-0043,4S (1994) — Statins in secondary prevention,trial,moderate,P3,1
AS-TRIL-0012,ADVANCE (2019) — Dolutegravir first-line in Africa,trial,moderate,P3,1
AS-TRIL-0024,ARDSNet ARMA (2000) — Low tidal volume ventilation,trial,moderate,P3,1
AS-CALC-0006,Anion Gap (albumin-corrected),calculator,moderate,P3,1
AS-SCOR-0008,Appendicitis — Alvarado Score,score,moderate,P3,1
AS-CALC-0002,Body Surface Area (BSA),calculator,moderate,P3,1
AS-DEFN-0001,"Breathlessness Words — Dyspnoea, Orthopnoea, PND and Others",definition,moderate,P3,1
AS-TRIL-0016,CHAMPION (2018) — Heat-stable carbetocin for PPH prevention,trial,moderate,P3,1
AS-TRIL-0019,CHAP (2004) — Co-trimoxazole prophylaxis in HIV-infected children,trial,moderate,P3,1
AS-TRIL-0020,CRASH-2 (2010) — Tranexamic acid in trauma,trial,moderate,P3,1
AS-TRIL-0021,CRASH-3 (2019) — Tranexamic acid in head injury,trial,moderate,P3,1
AS-SCOR-0002,CURB-65 — Pneumonia Severity,score,moderate,P3,1
AS-TRIL-0044,CURE (2001) — Dual antiplatelet therapy in ACS,trial,moderate,P3,1
AS-SCOR-0006,Child-Pugh Score,score,moderate,P3,1
AS-CLRK-0003,Clerking — Presenting Complaint and History,clerking,moderate,P3,1
AS-CALC-0009,Corrected Calcium,calculator,moderate,P3,1
